"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18615714","2017-11-19","22:08","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18615190","2017-11-19","20:08","","","32","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18614428","2017-11-19","17:59","","","40","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18613662","2017-11-19","15:59","","54","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18612868","2017-11-19","14:05","","","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18612410","2017-11-19","12:08","","","26","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18611705","2017-11-18","19:44","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18611462","2017-11-18","18:07","","4","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18610837","2017-11-18","16:09","","","11","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18610143","2017-11-18","14:15","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18610029","2017-11-18","13:52","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18609497","2017-11-18","11:54","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18608796","2017-11-17","20:20","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18608329","2017-11-17","18:04","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18607105","2017-11-17","16:17","","10","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18604375","2017-11-17","14:03","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18601787","2017-11-17","11:56","","","15","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18599829","2017-11-17","09:51","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18599131","2017-11-17","08:18","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18598596","2017-11-17","00:04","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18598235","2017-11-16","22:06","","","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18597153","2017-11-16","20:01","","","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18595618","2017-11-16","17:58","","","34","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18593324","2017-11-16","16:08","","","31","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18590076","2017-11-16","13:58","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18584488","2017-11-16","09:56","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18583555","2017-11-16","08:19","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18582704","2017-11-16","00:13","","2","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18582176","2017-11-15","22:08","","","11","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18581129","2017-11-15","20:15","","21","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18579064","2017-11-15","18:10","","","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18576623","2017-11-15","16:17","","","44","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18573571","2017-11-15","14:23","","","31","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18569317","2017-11-15","11:54","","","19","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18566470","2017-11-15","09:52","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18552734","2017-11-15","08:26","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18551879","2017-11-15","00:07","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18551366","2017-11-14","22:14","","","14","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18550196","2017-11-14","20:12","15","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18547864","2017-11-14","17:56","","","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18544922","2017-11-14","16:06","","","30","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18541284","2017-11-14","14:03","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18537541","2017-11-14","11:54","","","9","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18534746","2017-11-14","09:55","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18533655","2017-11-14","08:14","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18532992","2017-11-14","00:07","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18532533","2017-11-13","22:22","","20","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18531182","2017-11-13","20:12","","","21","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18529867","2017-11-13","18:46","","23","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18529261","2017-11-13","18:08","","","31","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18522974","2017-11-13","14:12","","","13","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18519297","2017-11-13","12:03","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18516460","2017-11-13","10:18","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18514919","2017-11-13","08:18","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18514021","2017-11-12","23:59","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18513744","2017-11-12","22:42","","","14","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18512896","2017-11-12","20:10","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18511863","2017-11-12","18:08","","","37","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18510824","2017-11-12","15:59","","","37","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18509924","2017-11-12","14:05","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18509402","2017-11-12","12:14","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18508528","2017-11-11","20:08","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18508267","2017-11-11","18:03","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18507643","2017-11-11","16:09","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18507015","2017-11-11","14:11","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18506470","2017-11-11","12:34","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18505297","2017-11-10","20:27","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18504996","2017-11-10","18:22","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18501754","2017-11-10","14:00","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18499945","2017-11-10","12:00","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18498094","2017-11-10","09:50","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18497391","2017-11-10","08:14","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18504216","2017-11-10","06:00","15","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18496724","2017-11-10","00:07","","6","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18496316","2017-11-09","22:08","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18495632","2017-11-09","20:35","19","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18493866","2017-11-09","17:59","","","19","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18492020","2017-11-09","16:24","","","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18488922","2017-11-09","14:10","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18485724","2017-11-09","12:02","","","22","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18480669","2017-11-09","08:13","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18479825","2017-11-09","00:08","","","13","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18479284","2017-11-08","22:12","","","35","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18478206","2017-11-08","20:20","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18476157","2017-11-08","18:11","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18473583","2017-11-08","16:23","","","39","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18469392","2017-11-08","13:54","","","21","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18466234","2017-11-08","11:51","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18464116","2017-11-08","10:18","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18462622","2017-11-08","08:32","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18461751","2017-11-08","00:04","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18461183","2017-11-07","22:18","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18460058","2017-11-07","20:00","24","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18457382","2017-11-07","17:56","","","30","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18454653","2017-11-07","16:05","","","34","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18451708","2017-11-07","14:17","","","11","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18451697","2017-11-07","14:17","","24","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18447857","2017-11-07","11:59","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18445459","2017-11-07","10:13","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18444137","2017-11-07","08:15","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18443316","2017-11-07","00:06","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18442738","2017-11-06","22:16","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18441547","2017-11-06","20:11","","34","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18439638","2017-11-06","18:11","","","26","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18436820","2017-11-06","16:02","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18433260","2017-11-06","13:52","","","30","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18430104","2017-11-06","12:01","","","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18427281","2017-11-06","10:17","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18424640","2017-11-06","00:00","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18424214","2017-11-05","22:09","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18423431","2017-11-05","20:06","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18422589","2017-11-05","18:19","","","30","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18421338","2017-11-05","16:00","","44","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18420476","2017-11-05","14:10","","26","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18419765","2017-11-05","12:12","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18419005","2017-11-04","20:06","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18418712","2017-11-04","18:23","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18417948","2017-11-04","16:17","","","13","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18416671","2017-11-04","13:47","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18416082","2017-11-04","11:55","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18414997","2017-11-03","20:07","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18414661","2017-11-03","18:58","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18410348","2017-11-03","14:09","","","9","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18407728","2017-11-03","11:56","","","13","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18405597","2017-11-03","09:57","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18404810","2017-11-03","08:09","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18404010","2017-11-03","00:04","","","04<br />","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18403393","2017-11-02","22:07","","","13","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18402320","2017-11-02","20:09","","","19","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18400505","2017-11-02","18:03","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18397745","2017-11-02","16:13","","28","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18393573","2017-11-02","13:53","","","26","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18390566","2017-11-02","12:07","","","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18388016","2017-11-02","10:17","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18386860","2017-11-02","08:44","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18385801","2017-11-02","00:09","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18385492","2017-11-01","23:19","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18383839","2017-11-01","20:28","","","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18381126","2017-11-01","18:10","","","39","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18378259","2017-11-01","16:10","","","31","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18375061","2017-11-01","14:11","","","27","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18371801","2017-11-01","12:13","","27","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18369287","2017-11-01","10:13","7","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18368061","2017-11-01","08:20","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18367260","2017-11-01","00:07","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18366892","2017-10-31","22:30","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18363882","2017-10-31","18:07","21","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18361608","2017-10-31","16:12","","","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18360104","2017-10-31","15:17","","26","26","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18355094","2017-10-31","12:04","","","19","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18352387","2017-10-31","09:45","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18351576","2017-10-31","08:22","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18350709","2017-10-31","00:06","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18348508","2017-10-30","20:09","","39","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18346677","2017-10-30","18:34","","","32","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18343479","2017-10-30","16:11","30","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18340118","2017-10-30","14:11","","","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18339596","2017-10-30","13:55","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18336437","2017-10-30","11:58","","","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18333836","2017-10-30","10:10","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18332533","2017-10-30","08:10","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18331490","2017-10-29","23:55","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18330962","2017-10-29","22:04","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18329940","2017-10-29","19:59","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18328947","2017-10-29","17:57","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18327940","2017-10-29","16:01","","","28","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18327141","2017-10-29","14:10","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18326533","2017-10-29","12:08","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18325723","2017-10-28","20:10","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18325313","2017-10-28","18:00","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18323839","2017-10-28","14:10","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18323097","2017-10-28","11:54","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18322734","2017-10-28","10:20","10 am count","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18321913","2017-10-27","20:11","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18321212","2017-10-27","18:16","","","4","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18317279","2017-10-27","14:10","","10","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18314857","2017-10-27","11:59","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18312750","2017-10-27","10:01","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18311837","2017-10-27","08:22","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18311004","2017-10-27","00:07","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18310517","2017-10-26","22:09","","","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18309389","2017-10-26","20:07","","","22","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18307590","2017-10-26","18:07","","","21","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18305016","2017-10-26","16:05","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18301707","2017-10-26","13:53","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18298843","2017-10-26","11:59","","","22","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18296487","2017-10-26","10:01","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18295305","2017-10-26","08:03","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18294491","2017-10-26","00:14","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18293659","2017-10-25","22:10","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18292224","2017-10-25","20:15","","","21","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18289404","2017-10-25","17:52","","","30","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18287273","2017-10-25","16:23","","","37","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18283360","2017-10-25","14:07","","","17","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18280156","2017-10-25","12:11","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18277159","2017-10-25","09:53","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18276231","2017-10-25","08:20","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18275295","2017-10-24","23:57","","","5","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18274702","2017-10-24","22:13","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18272774","2017-10-24","19:58","","","15","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18270617","2017-10-24","17:58","","","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18264444","2017-10-24","14:00","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18260803","2017-10-24","11:49","","","15","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18258499","2017-10-24","10:06","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18257290","2017-10-24","08:13","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18256201","2017-10-24","00:05","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18255443","2017-10-23","22:14","","31","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18253700","2017-10-23","20:08","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18251247","2017-10-23","18:00","","23","23","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18248580","2017-10-23","16:15","33","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18244601","2017-10-23","14:00","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18241218","2017-10-23","12:00","","","18","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18238256","2017-10-23","10:01","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18236868","2017-10-23","08:14","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18235622","2017-10-23","00:05","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18235006","2017-10-22","22:04","","","12","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
